Ном		Стпт		Фстрт		Шстр		ндлн		фдлн		шлдн
9440		712		712		0		110		110		0
6142		213		213		0		51		51		0
1908		128		128		0		80		80		0
1647		4		4		0		119		119		0
3294		9		9		0		0		0		0
6933		213		213		0		0		0		0
3087		7		7		0		119		119		0
4671		144		144		0		66		66		0
3203		7		0		0		130		130		0
7837		171		171		0		76		76		0
4662		3		3		0		162		110		0
7290		102		102		0		0		0		0
4946		8		8		0		2		2		0
6411		1		1		0		92		92		0
9028		647		647		0		65		65		0
8667		322		322		0		64		64		0
232		39		39		0		192		192		0
130		5		5		0		32		32		0
8036		148		148		0		86		86		0
4297		141		131		0		0		0		0
713		5		5		0		126		126		0
6913		312		309		0		0		0		0
5795		250		250		0		59		59		0
5319		49		49		0		193		193		0
818		2		2		0		40		40		0
5463		45		36		0		63		63		0
1564		1		1		0		35		35		0
5557		24		24		0		0		0		0
2783		22		22		0		0		0		0
397		6		6		0		15		15		0
7443		18		18		0		0		0		0
6700		14		14		0		0		0		0
4795		2		2		0		5		5		0
5908		38		38		0		0		0		0
616		11		11		0		25		25		0
8232		478		478		0		168		168		0
7278		342		342		0		129		129		0
573		1		1		0		187		187		0
6877		233		233		0		108		108		0
5616		134		134		0		90		90		0
1548		7		7		0		127		127		0
2598		4		4		0		170		170		0
867		2		2		0		0		0		0
5715		114		110		0		90		90		0
4011		4		4		0		106		106		0
4216		1		1		0		39		39		0
7759		268		268		0		87		57		0
7384		85		85		0		182		182		0
3680		7		7		0		71		71		0
4351		10		10		0		0		0		0
7637		3		3		0		140		79		0
